Carbon,Area,Percentage,Class,Percentage_unit
99.5,0.005544959999999998,1.2851963174027282e-5,> 6,6.425981587013642e-6
99.3,0.008317439999999997,1.9277944761040923e-5,> 6,4.283987724675758e-6
99.1,0.010165759999999996,2.356193248571668e-5,> 6,0
98.9,0.010165759999999996,2.356193248571668e-5,> 6,0
98.7,0.010165759999999996,2.356193248571668e-5,> 6,0
98.5,0.010165759999999996,2.356193248571668e-5,> 6,2.1419938623378822e-6
98.3,0.011089919999999996,2.5703926348054563e-5,> 6,6.42598158701364e-6
98.1,0.013862399999999995,3.21299079350682e-5,> 6,4.283987724675758e-6
97.9,0.015710719999999994,3.641389565974396e-5,> 6,4.2839877246757645e-6
97.7,0.017559039999999995,4.0697883384419725e-5,> 6,0
97.5,0.017559039999999995,4.0697883384419725e-5,> 6,2.141993862337879e-6
97.3,0.018483199999999995,4.2839877246757604e-5,> 6,6.425981587013637e-6
97.1,0.021255679999999992,4.926585883377124e-5,> 6,4.2839877246757645e-6
96.9,0.023103999999999993,5.3549846558447005e-5,> 6,2.141993862337879e-6
96.7,0.024028159999999993,5.5691840420784884e-5,> 6,0
96.5,0.024028159999999993,5.5691840420784884e-5,> 6,6.425981587013643e-6
96.3,0.026800639999999994,6.211782200779853e-5,> 6,4.283987724675758e-6
96.1,0.02864895999999999,6.640180973247429e-5,> 6,1.0709969311689408e-5
95.9,0.03326975999999999,7.711177904416369e-5,> 6,6.425981587013637e-6
95.7,0.03604223999999999,8.353776063117733e-5,> 6,2.141993862337879e-6
95.5,0.03696639999999999,8.567975449351521e-5,> 6,4.283987724675771e-6
95.3,0.03881471999999999,8.996374221819098e-5,> 6,0
95.1,0.03881471999999999,8.996374221819098e-5,> 6,4.283987724675744e-6
94.9,0.040663039999999984,9.424772994286672e-5,> 6,1.0709969311689421e-5
94.7,0.04528383999999999,1.0495769925455615e-4,> 6,4.283987724675758e-6
94.5,0.04713215999999999,1.092416869792319e-4,> 6,6.425981587013637e-6
94.3,0.049904639999999986,1.1566766856624554e-4,> 6,4.283987724675771e-6
