Carbon,Area,Percentage,Class,Percentage_unit
94.1,0.05175295999999999,1.1995165629092131e-4,> 6,1.7135950898703044e-5
93.9,0.05914623999999998,1.3708760718962436e-4,> 6,1.2851963174027246e-5
93.7,0.06469119999999998,1.499395703636516e-4,> 6,1.7135950898703058e-5
93.5,0.07208447999999998,1.6707552126235466e-4,> 6,6.425981587013637e-6
93.3,0.07485695999999997,1.735015028493683e-4,> 6,4.283987724675785e-6
93.1,0.07670527999999999,1.7778549057404408e-4,> 6,2.3561932485716695e-5
92.9,0.08687103999999998,2.0134742305976078e-4,> 6,1.2851963174027246e-5
92.7,0.09241599999999997,2.1419938623378802e-4,> 6,2.998791407273033e-5
92.5,0.10535423999999997,2.4418730030651835e-4,> 6,1.9277944761040937e-5
92.3,0.11367167999999997,2.634652450675593e-4,> 6,2.1419938623378843e-5
92.1,0.12291327999999997,2.8488518369093813e-4,> 6,1.499395703636507e-5
91.9,0.12938239999999995,2.998791407273032e-4,> 6,2.9987914072730304e-5
91.7,0.14232063999999994,3.298670548000335e-4,> 6,1.2851963174027327e-5
91.5,0.14786559999999996,3.4271901797406083e-4,> 6,3.212990793506821e-5
91.3,0.16172799999999996,3.7484892590912904e-4,> 6,2.7845920210392507e-5
91.1,0.17374207999999997,4.0269484611952155e-4,> 6,2.356193248571664e-5
90.9,0.18390783999999993,4.262567786052382e-4,> 6,2.9987914072730358e-5
90.7,0.19684607999999995,4.5624469267796855e-4,> 6,1.713595089870303e-5
90.5,0.20423935999999995,4.733806435766716e-4,> 6,1.713595089870303e-5
90.3,0.21163263999999993,4.905165944753746e-4,> 6,4.283987724675758e-5
90.1,0.23011583999999993,5.333564717221322e-4,> 6,2.356193248571675e-5
89.9,0.24028159999999993,5.569184042078489e-4,> 6,1.2851963174027327e-5
89.7,0.24582655999999994,5.697703673818763e-4,> 6,2.998791407273014e-5
89.5,0.2587647999999999,5.997582814546064e-4,> 6,4.2839877246757794e-5
89.3,0.27724799999999994,6.425981587013642e-4,> 6,2.998791407273025e-5
89.1,0.29018623999999993,6.725860727740945e-4,> 6,6.640180973247422e-5
88.9,0.3188351999999999,7.389878825065687e-4,> 6,3.212990793506837e-5
88.7,0.3326975999999999,7.71117790441637e-4,> 6,2.998791407273014e-5
88.5,0.3456358399999999,8.011057045143672e-4,> 6,3.427190179740617e-5
88.3,0.3604223999999999,8.353776063117734e-4,> 6,3.2129907935068156e-5
88.1,0.37428479999999986,8.675075142468415e-4,> 6,6.854380359481212e-5
87.9,0.40385791999999987,9.360513178416536e-4,> 6,4.926585883377119e-5
87.7,0.42511359999999987,9.853171766754248e-4,> 6,4.0697883384419997e-5
87.5,0.4426726399999999,0.0010260150600598448,> 6,4.4981871109095375e-5
87.3,0.4620799999999999,0.0010709969311689402,> 6,6.640180973247422e-5
87.1,0.4907289599999998,0.0011373987409014144,> 6,4.71238649714335e-5
86.9,0.5110604799999998,0.001184522605872848,> 6,7.711177904416375e-5
86.7,0.5443302399999999,0.0012616343849170117,> 6,4.712386497143328e-5
86.5,0.5646617599999999,0.001308758249888445,> 6,3.855588952208166e-5
86.3,0.5812966399999998,0.0013473141394105266,> 6,5.5691840420784905e-5
86.1,0.6053247999999998,0.0014030059798313115,> 6,4.9265858833771404e-5
85.9,0.6265804799999999,0.001452271838665083,> 6,4.498187110909559e-5
85.7,0.6459878399999999,0.0014972537097741785,> 6,1.4565558263897587e-4
85.5,0.7088307199999998,0.0016429092924131544,> 6,6.425981587013631e-5
85.3,0.7365555199999998,0.0017071691082832907,> 6,8.996374221819075e-5
85.1,0.7753702399999998,0.0017971328505014814,> 6,1.0281570539221862e-4
84.9,0.8197299199999998,0.0018999485558937,> 6,5.7833834283122594e-5
84.7,0.8446822399999998,0.0019577823901768226,> 6,9.210573608052887e-5
84.5,0.8844211199999997,0.0020498881262573515,> 6,1.9706343533508475e-4
84.3,0.9694438399999997,0.0022469515615924363,> 6,8.353776063117725e-5
84.1,1.0054860799999996,0.0023304893222236135,> 6,8.353776063117725e-5
83.9,1.0415283199999996,0.0024140270828547907,> 6,7.711177904416375e-5
83.7,1.0747980799999997,0.0024911388618989545,> 6,9.638972380520555e-5
83.5,1.1163852799999998,0.00258752858570416,> 6,1.86353466023395e-4
83.3,1.1967871999999997,0.002773882051727555,> 6,1.1138368084156981e-4
83.1,1.2448435199999996,0.002885265732569125,> 6,1.1780966242858331e-4
82.9,1.2956723199999995,0.003003075394997708,> 6,1.1780966242858331e-4
82.7,1.3465011199999997,0.0031208850574262915,> 6,1.3494561332728656e-4
82.5,1.4047231999999996,0.003255830670753578,> 6,1.0924168697923255e-4
82.3,1.4518553599999997,0.0033650723577328106,> 6,2.741752143792476e-4
82.1,1.5701478399999995,0.0036392475721120582,> 6,1.5636555195066562e-4
81.9,1.6376115199999997,0.003795613124062724,> 6,1.242356440155968e-4
81.7,1.6912127999999995,0.003919848768078321,> 6,1.863534660233963e-4
81.5,1.7716147199999994,0.004106202234101717,> 6,1.5208156422598894e-4
81.3,1.8372300799999994,0.004258283798327706,> 6,1.8421147216105774e-4
81.1,1.9167078399999993,0.004442495270488764,> 6,3.512869934234131e-4
80.9,2.0682700799999996,0.004793782263912177,> 6,2.441873003065174e-4
80.7,2.173624319999999,0.005037969564218694,> 6,2.1848337395846424e-4
80.5,2.2678886399999993,0.005256452938177158,> 6,2.3776131871950518e-4
80.3,2.3704703999999994,0.0054942142568966635,> 6,2.1634138009612568e-4
80.1,2.4638105599999993,0.005710555636992789,> 6,2.4847128803119276e-4
79.9,2.571013119999999,0.005959026925023982,> 6,5.290724839974569e-4
79.7,2.799280639999999,0.006488099409021439,> 6,2.720332205169108e-4
79.5,2.916648959999999,0.00676013262953835,> 6,3.170150916260066e-4
79.3,3.0534246399999994,0.007077147721164356,> 6,3.427190179740615e-4
79.1,3.201290239999999,0.007419866739138418,> 6,3.7484892590912856e-4
78.9,3.363018239999999,0.007794715665047546,> 6,7.49697851818258e-4
78.7,3.686474239999999,0.008544413516865804,> 6,3.491449995610754e-4
78.5,3.837112319999999,0.00889355851642688,> 6,3.405770241117212e-4
78.3,3.984053759999999,0.009234135540538601,> 6,3.662809504597804e-4
78.1,4.142085119999999,0.009600416490998381,> 6,3.8984288294549065e-4
77.9,4.3102822399999985,0.009990259373943872,> 6,3.962688645325098e-4
77.7,4.481251839999999,0.010386528238476382,> 6,9.167733730806107e-4
77.5,4.876792319999998,0.011303301611556993,> 6,4.6481266812732104e-4
77.3,5.077335039999999,0.011768114279684314,> 6,4.476767172286178e-4
77.1,5.270484479999999,0.012215790996912931,> 6,5.055105515117397e-4
76.9,5.488586239999998,0.012721301548424671,> 6,5.462084348961602e-4
76.7,5.724247039999998,0.013267509983320831,> 6,5.226465024104412e-4
76.5,5.949742079999998,0.013790156485731273,> 6,0.0011095528206910236
76.3,6.428456959999998,0.014899709306422296,> 6,5.869063182805789e-4
76.1,6.681676799999998,0.015486615624702875,> 6,6.575921157377269e-4
75.9,6.965393919999998,0.016144207740440602,> 6,6.147522384909732e-4
75.7,7.230627839999998,0.016758959978931575,> 6,6.425981587013657e-4
75.5,7.507875839999998,0.01740155813763294,> 6,6.790120543611056e-4
75.3,7.8008345599999975,0.018080570191994046,> 6,0.001375160059620923
75.1,8.394145279999998,0.01945573025161497,> 6,7.989637106520266e-4
74.9,8.738856959999998,0.020254693962266996,> 6,7.47555857955922e-4
74.7,9.061388799999998,0.021002249820222918,> 6,7.347038947818907e-4
74.5,9.378375679999998,0.02173695371500481,> 6,7.261359193325469e-4
74.3,9.691665919999998,0.022463089634337356,> 6,0.0014522718386650764
74.1,10.318246399999996,0.023915361473002432,> 6,8.525135572104749e-4
73.9,10.686062079999996,0.024767875030212907,> 6,8.460875756234679e-4
73.7,11.051105279999998,0.025613962605836375,> 6,8.760754896961903e-4
73.5,11.429086719999997,0.026490038095532565,> 6,8.182416554130684e-4
73.3,11.782115839999996,0.027308279750945633,> 6,8.546555510728117e-4
73.1,12.150855679999996,0.028162935302018445,> 6,0.0017264470530443353
72.9,12.895728639999996,0.02988938235506278,> 6,8.932114405948988e-4
72.7,13.281103359999996,0.03078259379565768,> 6,8.760754896961938e-4
72.5,13.659084799999997,0.03165866928535387,> 6,9.510452748780207e-4
72.3,14.069411839999995,0.032609714560231894,> 6,9.424772994286665e-4
72.1,14.476042239999996,0.03355219185966056,> 6,9.360513178416491e-4
71.9,14.879900159999996,0.03448824317750221,> 6,0.002079876040330081
71.7,15.777259519999996,0.03656811921783229,> 6,0.0010345830355092053
71.5,16.223628799999997,0.037602702253341495,> 6,0.001096700857516994
71.3,16.696798719999997,0.03869940311085849,> 6,0.0010410090170962089
71.1,17.145940479999997,0.0397404121279547,> 6,0.0010538609802702298
70.9,17.600627199999995,0.04079427310822493,> 6,0.0011266887715897234
70.7,18.086735359999995,0.04192096187981465,> 6,0.0022448095677300994
70.5,19.055255039999995,0.04416577144754475,> 6,0.0013387461639611797
70.3,19.632855039999995,0.04550451761150593,> 6,0.001118120796140376
70.1,20.115266559999995,0.04662263840764631,> 6,0.001220936501532592
69.9,20.642037759999994,0.0478435749091789,> 6,0.0011780966242858348
69.7,21.150325759999994,0.049021671533464733,> 6,0.0024504409785145315
69.5,22.207564799999993,0.051472112511979265,> 6,0.00123378846470662
69.3,22.739880959999994,0.052705900976685885,> 6,0.0013130422376131101
69.1,23.30639103999999,0.054018943214298995,> 6,0.0013323201823741762
68.9,23.881218559999994,0.05535126339667317,> 6,0.00119951656290921
68.7,24.398748159999993,0.05655077995958238,> 6,0.0013730180657585689
68.5,24.99113471999999,0.05792379802534095,> 6,0.0028252899044236696
68.3,26.210101759999993,0.06074908792976462,> 6,0.0014244259184546942
68.1,26.82466815999999,0.062173513848219314,> 6,0.001394438004381951
67.9,27.42629631999999,0.06356795185260126,> 6,0.001505821685223549
67.7,28.075980799999993,0.06507377353782481,> 6,0.001623631347652102
67.5,28.776494079999992,0.06669740488547692,> 6,0.0015572295379196327
67.3,29.44835839999999,0.06825463442339655,> 6,0.0029152536466418577
67.1,30.706140159999993,0.0711698880700384,> 6,0.0015657975133689939
66.9,31.38170111999999,0.0727356855834074,> 6,0.0016686132187612168
66.69999999999999,32.10162175999999,0.07440429880216862,> 6,0.0015829334642676884
66.5,32.784575999999994,0.0759872322664363,> 6,0.0016086373906157442
66.3,33.47862015999999,0.07759586965705205,> 6,0.0016857491696599114
66.1,34.20593407999999,0.07928161882671196,> 6,0.003403628247254903
65.9,35.67442431999999,0.08268524707396686,> 6,0.001803558832088492
65.69999999999999,36.45256703999999,0.08448880590605536,> 6,0.00178213889346511
65.5,37.221468159999986,0.08627094479952047,> 6,0.0017628609487040786
65.3,37.98205183999999,0.08803380574822454,> 6,0.0017992748443638185
65.1,38.75834623999999,0.08983308059258836,> 6,0.00363282159052504
64.9,40.32572159999999,0.0934659021831134,> 6,0.00181426880140019
64.69999999999999,41.10848511999999,0.09528017098451359,> 6,0.0018999485558937046
64.5,41.92821503999999,0.0971801195404073,> 6,0.0017885648750521205
64.3,42.69988863999998,0.09896868441545942,> 6,0.00198777030424957
64.1,43.55750911999999,0.10095645471970899,> 6,0.0019320784638287708
63.9,44.39110143999999,0.10288853318353776,> 6,0.0038555889522081666
63.699999999999996,46.05458943999999,0.10674412213574593,> 6,0.002045604138532678
63.5,46.937162239999985,0.1087897262742786,> 6,0.001977060334937858
63.3,47.79016191999999,0.11076678660921646,> 6,0.0020027642612859137
63.1,48.65425151999999,0.11276955087050237,> 6,0.0020820180341924177
62.9,49.55253503999998,0.11485156890469479,> 6,0.001996338279698917
62.699999999999996,50.41385215999999,0.11684790718439371,> 6,0.004262567786052399
62.5,52.25293055999999,0.12111047497044611,> 6,0.0021355678807508383
62.3,53.174318079999985,0.12324604285119695,> 6,0.002156987819374262
62.1,54.10494719999999,0.1254030306705712,> 6,0.0022448095677300994
61.9,55.07346687999999,0.1276478402383013,> 6,0.0022191056413820576
61.699999999999996,56.03089663999999,0.12986694587968337,> 6,0.0021355678807508383
61.5,56.952284159999984,0.1320025137604342,> 6,0.004545310975880984
61.3,58.913351679999984,0.1365478247363152,> 6,0.00225123554931711
61.099999999999994,59.88464383999998,0.1387990602856323,> 6,0.002214821653657384
60.9,60.840225279999984,0.14101388193928968,> 6,0.002431163033753486
60.699999999999996,61.88914687999998,0.14344504497304317,> 6,0.002399033125818406
60.5,62.92420607999998,0.14584407809886157,> 6,0.004840906128883632
60.3,65.01280767999998,0.1506849842277452,> 6,0.0023947491380937602
60.099999999999994,66.04601855999998,0.15307973336583897,> 6,0.0025061328189353027
59.9,67.12728575999998,0.15558586618477427,> 6,0.0025275527575587264
59.699999999999996,68.21779455999999,0.158113418942333,> 6,0.0025296947514210077
59.5,69.30922751999998,0.160643113693754,> 6,0.002570392634805463
59.3,70.41821951999998,0.16321350632855947,> 6,0.005391398551504445
59.099999999999994,72.74433023999998,0.1686049048800639,> 6,0.0026303684629509494
58.9,73.87919871999999,0.17123527334301486,> 6,0.0026282264690885293
58.699999999999996,75.01314303999997,0.1738634998121034,> 6,0.0027910180026262665
58.5,76.21732351999998,0.17665451781472966,> 6,0.002679634321784724
58.3,77.37344767999998,0.17933415213651438,> 6,0.0027695980640028706
58.099999999999994,78.56838655999998,0.18210375020051725,> 6,0.005620591894774568
57.9,80.99338239999997,0.18772434209529182,> 6,0.0030437732783821225
57.699999999999996,82.30661375999998,0.19076811537367394,> 6,0.0027653140762782247
57.5,83.49970431999998,0.19353342944995217,> 6,0.002936673585265226
57.3,84.76672767999997,0.1964701030352174,> 6,0.002945241560714573
57.099999999999994,86.03744767999997,0.19941534459593196,> 6,0.0030544832476938344
56.9,87.35529983999997,0.2024698278436258,> 6,0.006211782200779836
56.699999999999996,90.03536383999997,0.20868161004440564,> 6,0.0031358790144626336
56.5,91.38833407999996,0.21181748905886827,> 6,0.003260114658478308
56.3,92.79490559999998,0.21507760371734658,> 6,0.003080187174041904
56.099999999999994,94.12384767999998,0.21815779089138848,> 6,0.003350078400696399
55.9,95.56923391999997,0.22150786929208488,> 6,0.00672800272160326
55.699999999999996,98.47202047999997,0.22823587201368814,> 6,0.003356504382283493
55.5,99.92017919999998,0.23159237639597163,> 6,0.0033179484927613745
55.3,101.35170303999998,0.234910324888733,> 6,0.003491449995610768
55.099999999999994,102.85808383999998,0.23840177488434378,> 6,0.0035171539219587544
54.9,104.37555455999997,0.24191892880630253,> 6,0.0035192959158211468
54.699999999999996,105.89394943999997,0.24543822472212368,> 6,0.0073149090398838545
54.5,109.04995583999997,0.25275313376200753,> 6,0.003821317050410833
54.3,110.69865727999998,0.25657445081241836,> 6,0.0037913291363380064
54.099999999999994,112.33442047999998,0.26036577994875637,> 6,0.0037656252099899645
53.9,113.95909375999996,0.26413140515874634,> 6,0.004149042111348478
53.699999999999996,115.74919167999997,0.2682804472700948,> 6,0.004022664473470605
53.5,117.48476415999997,0.2723031117435654,> 6,0.007910383333613713
53.3,120.89768703999997,0.28021349507717913,> 6,0.004116912203413425
53.099999999999994,122.67392255999997,0.28433040728059256,> 6,0.00428612971853809
52.9,124.52316671999996,0.28861653699913065,> 6,0.004455347233662865
52.699999999999996,126.44541951999997,0.2930718842327935,> 6,0.0043375375712341735
52.5,128.31684351999996,0.2974094218040277,> 6,0.004448921252075744
52.3,130.23632383999995,0.30185834305610343,> 6,0.008944966369122953
52.099999999999994,134.09561599999995,0.3108033094252264,> 6,0.0047530843805277945
51.9,136.14632703999996,0.3155563938057542,> 6,0.004641700699686224
51.699999999999996,138.14898175999997,0.3201980945054404,> 6,0.0047702203314264335
51.5,140.20708607999995,0.32496831483686683,> 6,0.00467168861375894
51.3,142.22267903999997,0.3296400034506258,> 6,0.00980818989564508
51.099999999999994,146.45440767999995,0.33944819334627085,> 6,0.004761652355977142
50.9,148.50881535999994,0.344209845702248,> 6,0.0048366221411589305
50.699999999999996,150.59556863999995,0.3490464678434069,> 6,0.004898739963166698
50.5,152.70912255999994,0.3539452078065736,> 6,0.005001555668559032
50.3,154.86703615999997,0.35894676347513266,> 6,0.00511722333712511
50.099999999999994,157.07485439999994,0.36406398681225777,> 6,0.010452930048208964
49.9,161.58475519999996,0.37451691686046673,> 6,0.005357126649707
49.699999999999996,163.89607935999996,0.37987404351017373,> 6,0.005198619103893964
49.5,166.13901567999994,0.3850726626140677,> 6,0.00533784870494608
49.3,168.44202239999996,0.3904105113190138,> 6,0.005496356250758949
49.099999999999994,170.81341695999996,0.3959068675697727,> 6,0.005408534502403195
48.9,173.14692095999996,0.4013154020721759,> 6,0.011140510078019306
48.699999999999996,177.95347711999995,0.4124559121501952,> 6,0.005791951403761653
48.5,180.45240575999995,0.4182478635539569,> 6,0.005794093397623878
48.3,182.95225855999993,0.42404195695158076,> 6,0.005761963489688937
48.099999999999994,185.43824895999995,0.4298039204412697,> 6,0.005809087354660347
47.9,187.94457087999993,0.43561300779593004,> 6,0.01175954630423498
47.699999999999996,193.01820927999995,0.447372554100165,> 6,0.006033996710205769
47.5,195.62156799999994,0.4534065508103708,> 6,0.006042564685655227
47.3,198.22862335999994,0.459449115496026,> 6,0.006019002753169356
47.099999999999994,200.82551295999994,0.4654681182491954,> 6,0.005965452906611046
46.9,203.39929855999995,0.4714335711558064,> 6,0.006177510298982447
46.699999999999996,206.06457599999993,0.47761108145478887,> 6,0.012477114248118204
46.5,211.44780799999995,0.49008819570290707,> 6,0.006299603949135646
46.3,214.16576255999993,0.4963877996520427,> 6,0.006580205145101936
46.099999999999994,217.00478207999996,0.5029680047971447,> 6,0.006550217231029221
45.9,219.83086335999994,0.5095182220281739,> 6,0.0065823471389643284
45.699999999999996,222.67080703999994,0.5161005691671382,> 6,0.006757990635676059
45.5,225.58653183999994,0.5228585598028143,> 6,0.013411023572097447
45.3,231.37269759999992,0.5362695833749117,> 6,0.006734428703190298
45.099999999999994,234.27825663999994,0.543004012078102,> 6,0.006972190021909852
44.9,237.28639743999994,0.5499762021000119,> 6,0.006811540482234424
44.699999999999996,240.22522623999993,0.5567877425822463,> 6,0.007139265543172124
44.5,243.30545151999993,0.5639270081254184,> 6,0.0071478335186215824
44.3,246.38937343999993,0.57107484164404,> 6,0.01472406580971053
44.099999999999994,252.74204927999995,0.5857989074537505,> 6,0.007297773088985049
43.9,255.8906623999999,0.5930966805427356,> 6,0.007310625052159292
43.699999999999996,259.04482047999994,0.6004073055948949,> 6,0.007411298763689178
43.5,262.24241407999995,0.607818604358584,> 6,0.007338470972369393
43.3,265.4085862399999,0.6151570753309534,> 6,0.01500466700567682
43.099999999999994,271.8823270399999,0.6301617423366302,> 6,0.0075333924138425434
42.9,275.13259775999995,0.6376951347504728,> 6,0.007771153732561764
42.699999999999996,278.48545024,0.6454662884830346,> 6,0.007850407505468393
42.5,281.87249663999995,0.653316695988503,> 6,0.007781863701873393
42.3,285.2299699199999,0.6610985596903763,> 6,0.008008915051281318
42.099999999999994,288.6854041599999,0.6691074747416577,> 6,0.016219177525622408
41.9,295.6831436799999,0.6853266522672801,> 6,0.008199552505029462
41.699999999999996,299.2208281599999,0.6935262047723095,> 6,0.008205978486616416
41.5,302.7612851199999,0.701732183258926,> 6,0.008304510204284021
41.3,306.34425343999993,0.71003669346321,> 6,0.008430887842161838
41.099999999999994,309.9817471999999,0.7184675813053718,> 6,0.008653655203844979
40.9,313.7153535999999,0.7271212365092168,> 6,0.017395132156046045
40.699999999999996,321.2204569599999,0.7445163686652628,> 6,0.008452307780785318
40.5,324.86719231999996,0.7529686764460481,> 6,0.008835724682143664
40.3,328.6793523199999,0.7618044011281918,> 6,0.008977096277058116
40.099999999999994,332.55250687999995,0.7707814974052499,> 6,0.009073486000863218
39.9,336.4672486399999,0.7798549834061131,> 6,0.008801452780346497
39.699999999999996,340.2646220799999,0.7886564361864596,> 6,0.018348319424786208
39.5,348.1809766399999,0.8070047556112458,> 6,0.009302679344133424
39.3,352.19460351999993,0.8163074349553793,> 6,0.009491174804019065
39.099999999999994,356.2895564799999,0.8257986097593983,> 6,0.009512594742642544
38.9,360.3937510399999,0.8353112045020409,> 6,0.009763208024536119
38.699999999999996,364.6060723199999,0.845074412526577,> 6,0.01981130123276298
38.5,373.1536281599999,0.86488571375934,> 6,0.01030513247170739
38.3,377.5997619199999,0.8751908462310474,> 6,0.010215168729489688
38.099999999999994,382.00708095999994,0.8854060149605371,> 6,0.010429368115722926
37.9,386.5068159999999,0.89583538307626,> 6,0.010405806183237498
37.699999999999996,390.9963852799999,0.9062411892594975,> 6,0.010418658146411408
37.5,395.4914995199999,0.9166598474059089,> 6,0.021931875156477543
37.3,404.9539737599999,0.9385917225623864,> 6,0.010996996489242572
37.099999999999994,409.69861119999985,0.949588719051629,> 6,0.01121333786933898
36.9,414.5365887999999,0.960802056920968,> 6,0.011594612776834823
36.699999999999996,419.5390668799999,0.9723966696978028,> 6,0.011311869587006362
36.5,424.4195558399999,0.9837085392848092,> 6,0.011714564433125907
36.3,429.47378687999986,0.9954231037179351,> 6,0.02362405030772452
36.099999999999994,439.6663475199999,1.0190471540256596,> 6,0.011853794034177634
35.9,444.78064895999984,1.0309009480598372,> 6,0.012307896732993484
35.699999999999996,450.09087231999985,1.0432088447928307,> 6,0.012708449585250747
35.5,455.57391359999986,1.0559172943780815,> 6,0.01229290277595707
35.3,460.87766783999984,1.0682101971540385,> 6,0.012732011517736286
35.099999999999994,466.37087487999986,1.0809422086717748,> 6,0.025641808526046805
34.89999999999999,477.4339942399999,1.1065840171978216,> 6,0.01331891783601713
34.7,483.1804211199999,1.1199029350338388,> 6,0.013004044738253118
34.5,488.7909964799998,1.1329069797720919,> 6,0.01319254019813898
34.3,494.48289791999986,1.1460995199702309,> 6,0.013468857406380819
34.099999999999994,500.2940159999999,1.1595683773766117,> 6,0.027355403615916707
33.89999999999999,512.0964633599998,1.1869237809925284,> 6,0.013736606639173088
33.7,518.0231014399999,1.2006603876317015,> 6,0.013989361914928722
33.5,524.0587903999999,1.2146497495466302,> 6,0.01447987850940402
33.3,530.3061119999999,1.2291296280560342,> 6,0.01423354921523523
33.099999999999994,536.4471551999999,1.2433631772712694,> 6,0.014983247067053451
32.89999999999999,542.9116543999999,1.2583464243383229,> 6,0.029748010760148658
32.7,555.74638848,1.2880944350984715,> 6,0.014829023508964978
32.5,562.1443481599998,1.3029234586074365,> 6,0.015583005348507983
32.3,568.8676121599998,1.3185064639559445,> 6,0.015568011391471792
32.099999999999994,575.5844070399999,1.3340744753474163,> 6,0.015994268170077097
31.89999999999999,582.4851097599999,1.3500687435174934,> 6,0.016105651850918168
31.700000000000003,589.4338687999998,1.3661743953684116,> 6,0.03231626140109167
31.5,603.3766707199998,1.3984906567695032,> 6,0.016765385960518797
31.299999999999997,610.6100710399999,1.415256042730022,> 6,0.017045987156484754
31.099999999999994,617.9645363199999,1.4323020298865068,> 6,0.016765385960518575
30.89999999999999,625.1979366399999,1.4490674158470254,> 6,0.017161654825051276
30.700000000000003,632.6023065599999,1.4662290706720766,> 6,0.017341582309487125
30.5,640.0843059199998,1.4835706529815638,> 6,0.035362176673336077
30.299999999999997,655.3412633599997,1.5189328296548998,> 6,0.018097706142892855
30.099999999999994,663.1494911999998,1.5370305357977927,> 6,0.018029162339297855
29.89999999999999,670.9281459199998,1.5550596981370906,> 6,0.018245503719394263
29.700000000000003,678.8001407999998,1.5733052018564848,> 6,0.018708174393658794
29.5,686.8717542399997,1.5920133762501436,> 6,0.03834811611743527
29.299999999999997,703.4169907199998,1.6303614923675789,> 6,0.018795996142014992
29.099999999999994,711.5264947199998,1.6491574885095939,> 6,0.01948143417796322
28.89999999999999,719.9317299199998,1.668638922687557,> 6,0.020034068594445564
28.700000000000003,728.5753983999997,1.6886729912820027,> 6,0.0199462468460907
28.5,737.1811763199998,1.7086192381280934,> 6,0.020732358593568145
28.299999999999997,746.1261209599998,1.7293515967216615,> 6,0.04200878362817062
28.099999999999994,764.2507468799997,1.7713603803498321,> 6,0.02081589635419956
27.89999999999999,773.2317337599998,1.7921762767040317,> 6,0.021023669758846175
27.700000000000003,782.3023641599997,1.8131999464628779,> 6,0.021439216568140074
27.5,791.5522815999998,1.834639163031018,> 6,0.021576304175329186
27.299999999999997,800.8613452799997,1.8562154672063471,> 6,0.022418107763228612
27.099999999999994,810.5336038399998,1.8786335749695757,> 6,0.04538028196749022
26.89999999999999,830.1128575999998,1.924013856937066,> 6,0.02253805941951903
26.700000000000003,839.8368691199997,1.946551916356585,> 6,0.023270621320439
26.5,849.8769433599998,1.969822537677024,> 6,0.023654038221796903
26.299999999999997,860.0824422399998,1.9934765758988209,> 6,0.02401175119680765
26.099999999999994,870.4422758399998,2.0174883270956285,> 6,0.02409743095130157
25.89999999999999,880.8390758399999,2.04158575804693,> 6,0.04867681052162798
25.700000000000003,901.8406118399998,2.090262568568558,> 6,0.024902820643540213
25.5,912.5848959999997,2.1151653892120983,> 6,0.02523911367992726
25.299999999999997,923.4742732799997,2.1404045028920256,> 6,0.025933119691324613
25.099999999999994,934.6630783999998,2.16633762258335,> 6,0.025558270765415614
24.89999999999999,945.6901555199997,2.1918958933487658,> 6,0.052761592817106795
24.700000000000003,968.4540646399997,2.2446574861658726,> 6,0.027104790334023576
24.5,980.1483852799997,2.271762276499896,> 6,0.02700197462863141
24.299999999999997,991.7983462399998,2.2987642511285276,> 6,0.02749891720469355
24.099999999999994,1003.6627123199997,2.326263168333221,> 6,0.027933741958748204
23.89999999999999,1015.7146828799997,2.3541969102919693,> 6,0.028255041038099282
23.700000000000003,1027.9052774399997,2.3824519513300686,> 6,0.0569363388548032
23.5,1052.4703743999996,2.439388290184872,> 6,0.029640911067031706
23.299999999999997,1065.2589004799997,2.4690292012519035,> 6,0.030112149716745584
